SUBSTÂNCIA,EAN 3,APRESENTAÇÃO,CLASSE TERAPÊUTICA,DESTINAÇÃO COMERCIAL 
AZACITIDINA,    -     ,150 MG PO LIOF SUS INJ SC CT FA VD TRANS,L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,
AZACITIDINA,    -     ,100 MG PO LIOF SUS INJ SC CT FA VD TRANS,L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,
AZATIOPRINA,    -     ,50 MG COM REV CX BL AL PLAS TRANS X 200,L4X - OUTROS IMUNOSSUPRESSORES,
AZATIOPRINA,    -     ,50 MG COM REV CT BL AL PLAS PVDC OPC X 50,L4X - OUTROS IMUNOSSUPRESSORES,
AZATIOPRINA,    -     ,50 MG COM CX ENV AL POLIET X 500,L4X - OUTROS IMUNOSSUPRESSORES,
AZATIOPRINA,    -     ,50 MG COM REV CT BL AL PLAS BR OPC X 50,L4X - OUTROS IMUNOSSUPRESSORES,
AZATIOPRINA,    -     ,50 MG COM REV CT BL AL PLAS BR OPC X 100,L4X - OUTROS IMUNOSSUPRESSORES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 2 ,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,"40 MG/ML PO SUS OR CT FR PLAS OPC X 22,5 ML + DIL FR PLAS  X 12 ML + SER  DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + DIL FR PLAS  X 9 ML + SER DOS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,"40 MG/ML PO SUS OR CT FR PLAS OPC X 37,5 ML + DIL FR PLAS X 20 ML + SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,"40 MG/ML PO SUS OR CT FR PLAS OPC X 22,5 ML + DIL FR PLAS OPC X 13,8 ML + SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,"40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 22,5 ML + 50 DIL FR PLAS OPC X 13,8 ML + 50 SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,"40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + DIL FR PLAS OPC X 9,2 ML + SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,"40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 15 ML + 50 DIL FR PLAS OPC X 9,2 ML + 50 SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,1000 MG COM REV CT BL AL PLAS OPC X 1,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500MG PO LIOF SOL INFUS CX 10 FA VD TRANS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 3 ,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 60,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,600 MG PÓ SUS CT FR PLAS OPC + FLAC SOL DIL X 9 ML + SER DOS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,900 MG PÓ SUS CT FR PLAS OPC + FLAC SOL DIL X 12 ML + SER DOS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1500 MG PÓ SUS CT FR PLAS OPC + FR VD AMB SOL DIL X 22ML + SER DOS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 2 ,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,600 MG PÓ SUS OR CT FR PLAS OPC + FLAC SOL DIL X 9 ML + SER DOS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,900 MG PÓ SUS OR CT FR PLAS OPC + FLAC SOL DIL X 12 ML + SER DOS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1500 MG PÓ SUS OR CT FR PLAS OPC + FR VD AMB SOL DIL X 22ML + SER DOS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500MG PO LIOF SOL INFUS CT 10 FA VD TRANS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG PO LIOF SOL INFUS IV CT 10 FA VD TRANS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500MG PO LIOF SOL INFUS CT 10 FA VD TRANS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500MG PO LIOF SOL INFUS CT 10 FA VD TRANS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG PO SOL INFUS IV CX 10 FA VD TRANS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS  PVC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,600 MG PO SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD 5 ML,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"900 MG PO SUS OR CT FR PLAS TRANS X 22,5 ML + SER DOSAD 5 ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"1500 MG PO SUS OR CT FR PLAS TRANS X 37,5 ML + SER DOSAD 10 ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,600 MG PO SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD 5 ML,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"900 MG PO SUS OR CT FR PLAS TRANS X 22,5 ML + SER DOSAD 5 ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"1500 MG PO SUS OR CT FR PLAS TRANS X 37,5 ML + SER DOSAD 10 ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAST PVC/PVDC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAST PVC/PVDC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAST PVC/PVDC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAST PVC/PVDC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1000 MG COM REV CT BL AL PLAS OPC X 1,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"40 MG/ML PO SUS CT FR PLAS OPC X 22,5 ML + DIL FR PLAS X 12 ML + SER  DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,40 MG/ML PO SUS CT FR PLAS OPC X 15 ML + DIL FR PLAS X 9 ML + SER DOS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"40 MG/ML PO SUS  CT FR PLAS OPC X 37,5 ML + DIL FR PLAS X 20 ML + SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVDC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVDC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVDC TRANS X 300,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVDC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1000 MG COM REV CT  BL AL PLAS TRANS X 1,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT  BL AL PLAS TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT  BL AL PLAS TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT  BL AL PLAS TRANS X 6,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 2,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG PO LIOF SOL  INFUS IV CT 10 FA VD TRANS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 450,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 150 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"40 MG/ML PO SUS OR CT FR PLAS OPC X 22,5 ML + DIL FR PLAS OPC X 13,8 ML + SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 22,5 ML + 50 DIL FR PLAS OPC X 13,8 ML + 50 SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + DIL FR PLAS OPC X 9,2 ML + SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"40 MG/ML PO SUS OR CX 50 FR PLAS OPC X 15 ML + 50 DIL FR PLAS OPC X 9,2 ML + 50 SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 1 ,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 150 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 100 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 70 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 50 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 2,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 80,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 120,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 300 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 450,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 60 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 150 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 210 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC OPC X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 1 ,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 2,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 40,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 80,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 150 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 300,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 100 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 70 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,1 G COM REV CT BL AL PLAS PVC OPC X 50 (EMB FRAC),J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS OPC X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"40 MG/ML PO SUS OR CT FR PLAS OPC X 22,5 ML + DIL FR PLAS X 12 ML + SER DOS  ",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,40 MG/ML PO SUS OR CT FR PLAS OPC X 15 ML + DIL FR PLAS X 9 ML + SER DOS ,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"40 MG/ML PO SUS OR CT FR PLAS OPC X 37,5 ML + DIL FR PLAS X 20 ML + SER DOS",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 500,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,600 MG PO SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD 5 ML,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"900 MG PO SUS OR CT FR PLAS TRANS X 22,5 ML + SER DOSAD 5 ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,600 MG PO SUS OR CX 50 FR PLAS TRANS X 15 ML + 50 SER DOSAD 5 ML,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"900 MG PO SUS OR CX 50 FR PLAS TRANS X 22,5 ML + 50 SER DOSAD 5 ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"1500 MG PO SUS OR CT FR PLAS TRANS X 37,5 ML + SER DOSAD 10 ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"900 MG PO SUS OR EXT CT FR PLAS TRANS X 22,5 ML + SER DOSAD 5 ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC TRANS X 450,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CX BL AL PLAS PVC TRANS X 450,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PVC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PVC TRANS X 150,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PVC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"600MG PO SUS OR CT FR VD AMB X 15 ML + FR DIL X 11,5ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"900MG PO SUS OR CT FR VD AMB X 22,5 ML + FR DIL X 17ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"600MG PO SUS OR CT FR VD AMB X 15 ML + FR DIL X 11,5ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,"900MG PO SUS OR CT FR VD AMB X 22,5 ML + FR DIL X 17ML",J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG PO LIOF SOL INFUS IV CT FA VD TRANS,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 2,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 3,J1F - MACROLIDEOS E SIMILARES,
AZITROMICINA DI-HIDRATADA,    -     ,500 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 5,J1F - MACROLIDEOS E SIMILARES,
AZTREONAM,    -     ,1 G PO SOL INJ IM IV CT FA VD TRANS,J1P1 - MONOBACTÂMICOS,
AZTREONAM,    -     ,"1,0 G PO INJ CX 25 FA VD TRANS",J1P1 - MONOBACTÂMICOS,
AZTREONAM,    -     ,"1,0 G PO INJ CX 25 FA VD INC",J1P1 - MONOBACTÂMICOS,
BACILLUS CEREUS,    -     ,1 X 10^6 END/ML SUS OR CT 6 FLAC X 5 ML ,A7F - ANTIDIARREICOS MICRO-ORGANISMOS,
BACILLUS CEREUS,    -     ,1 X 10^6 END/ML SUS OR CT 2 FLAC X 5 ML,A7F - ANTIDIARREICOS MICRO-ORGANISMOS,
BACILLUS CEREUS,    -     ,1 X 10^6 END/ML SUS OR CT 12 FLAC X 5 ML,A7F - ANTIDIARREICOS MICRO-ORGANISMOS,
BACITRACINA;SULFATO DE NEOMICINA,    -     ,5MG/G + 250 UI/G POM DERM CT BG AL X 10G,D6A - ANTIBIÓTICOS TÓPICOS,
BACITRACINA;SULFATO DE NEOMICINA,    -     ,5MG/G + 250 UI/G POM DERM CT BG AL X 10G,D6A - ANTIBIÓTICOS TÓPICOS,
BACITRACINA;SULFATO DE NEOMICINA,    -     ,"5,0 MG/G + 250 UI/G POM DERM CT BG AL X 15 G ",D6A - ANTIBIÓTICOS TÓPICOS,
BACITRACINA;SULFATO DE NEOMICINA,    -     ,"5,0 MG/G + 250 UI/G POM DERM CT BG AL X 50 G",D6A - ANTIBIÓTICOS TÓPICOS,
BACITRACINA;SULFATO DE NEOMICINA,    -     ,(5 MG + 250 UI)/G POM DERM CT BG AL X 50 G ,D6A - ANTIBIÓTICOS TÓPICOS,
BACITRACINA;SULFATO DE NEOMICINA,    -     ,5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G,D6A - ANTIBIÓTICOS TÓPICOS,
BACITRACINA;SULFATO DE NEOMICINA,    -     ,5 MG/G + 250 UI/G POM DERM CT BG AL X 50 G,D6A - ANTIBIÓTICOS TÓPICOS,
BACLOFENO,    -     ,10 MG COM CT BL AL PLAS TRANS  X 20,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,
BACLOFENO,    -     ,10 MG COM CT BL AL PLAS TRANS X 20,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,
BACLOFENO,    -     ,10 MG COM CT BL AL PLAS TRANS X 60,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,
BACLOFENO,    -     ,10 MG COM CT BL AL PLAS TRANS X 20,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,
BACLOFENO,    -     ,10 MG COM CT BL AL PLAS TRANS X 60,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,
BACLOFENO,    -     ,10 MG COM CT BL AL PLAS TRANS X 20,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,
BACOPA MONNIERI (L.) WETTST.,    -     ,225 MG COM REV CT BL AL PVDC TRANS X 30,N6D - NOOTRÓPICOS,
BACOPA MONNIERI (L.) WETTST.,    -     ,225 MG COM REV CT BL AL PVDC TRANS X 60,N6D - NOOTRÓPICOS,
BALOXAVIR MARBOXILA,    -     ,20 MG COM REV CT BL AL AL X 2,J5B4 - ANTIVIRAIS PARA INFLUENZA,
BALOXAVIR MARBOXILA,    -     ,20 MG COM REV CT BL AL AL X 4,J5B4 - ANTIVIRAIS PARA INFLUENZA,
BALOXAVIR MARBOXILA,    -     ,40 MG COM REV CT BL AL AL X 1,J5B4 - ANTIVIRAIS PARA INFLUENZA,
BALOXAVIR MARBOXILA,    -     ,40 MG COM REV CT BL AL AL X 2,J5B4 - ANTIVIRAIS PARA INFLUENZA,
BARICITINIBE,    -     ,2 MG COM REV CT BL AL AL X 30,L4D - INIBIDORES DE JAK,
BARICITINIBE,    -     ,4 MG COM REV CT BL AL AL X 30,L4D - INIBIDORES DE JAK,
BASILIXIMAB,    -     ,20 MG PÓ LIOF INJ CT FA VD TRANS,L4C - INIBIDORES DA INTERLEUCINA,
BELANTAMABE MAFODOTINA,    -     ,70 MG PO LIOF SOL INJ IV CT FR VD TRANS,"L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS",
BELANTAMABE MAFODOTINA,    -     ,100 MG PO LIOF SOL INJ IV CT FR VD TRANS,"L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS",
BELIMUMABE,    -     ,120 MG PO LIOF INJ IN CT FA VD INC ,L4X - OUTROS IMUNOSSUPRESSORES,
BELIMUMABE,    -     ,400 MG PO LIOF INJ CT FA VD INC ,L4X - OUTROS IMUNOSSUPRESSORES,
BELIMUMABE,    -     ,200 MG/ML SOL INJ CT 4 SER PREENC VD TRANS X 1ML,L4X - OUTROS IMUNOSSUPRESSORES,
BELIMUMABE,    -     ,200 MG/ML SOL INJ CT 4 SER PREENC VD TRANS X 1ML + CAN APLIC,L4X - OUTROS IMUNOSSUPRESSORES,
BELINOSTATE,    -     ,500 MG PO LIOF SOL INJ IV CT FR AMP VD TRANS,L1X3 - ANTINEOPLÁSICOS INBIDORES DE HISTONA DEACETILASE (HDAC),
BELZUTIFANO,    -     ,40 MG COM REV CT FR PLAS PEAD OPC X 90,L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,
BENDAMUSTINA,    -     ,25 MG PO LIOF SOL INFUS IV CT FA VD AMB ,L1A - AGENTES ANTINEOPLÁSICOS ALQUILANTES,
BENDAMUSTINA,    -     ,100 MG PO LIOF SOL INFUS IV CT FA VD AMB,L1A - AGENTES ANTINEOPLÁSICOS ALQUILANTES,
BENFOTIAMINA,    -     ,150 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,A11D3 - VITAMINA B1 PURA,
BENFOTIAMINA,    -     ,150 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10,A11D3 - VITAMINA B1 PURA,
BENFOTIAMINA,    -     ,150 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30,A11D3 - VITAMINA B1 PURA,
BENFOTIAMINA,    -     ,150 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 30,A11D3 - VITAMINA B1 PURA,
BENFOTIAMINA,    -     ,150 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 10,A11D3 - VITAMINA B1 PURA,
